Nr,Event,Participant,TaskID,Reaction.Time,Audio,ANSWER,Word1,Word2,Word3,Word4,Word5,Response,WordsCorrect,Accuracy,Voice,Type,SentenceID,Noise,SubjectNr,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location,IntelligibilityTask
72,443,67660267ee75be78076712d5,task-6xu5,10062.7,voice_04_human_002_-6dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,8,human,2,3dB,NA,Female,34,United Kingdom,2025-02-03T16:26:18.857000Z,2763,30,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task30
73,20,5b3016a9a8327d0001ffef94,task-obom,6751.4,voice_09_human_002_3dB.mp3,kick the ball straight and follow through,kick,ball,straight,follow,through,kick the ball straight and follow through,5,1,1,human,2,3dB,NA,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,1380,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",Task06
99,29,6786d7a40dccb69b974eaaf8,task-tk4x,22124.5,voice_07_clone_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,4,clone,3,-6dB,NA,Male,19,United Kingdom,2025-02-01T13:20:04.774000Z,2683,41,"London, England ",Task39
100,116,67628c956106c1752ccacb35,task-4yg1,14232.2,voice_06_clone_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,11,clone,3,-6dB,NA,Male,34,United Kingdom,2025-02-01T12:45:39.810000Z,1928,82,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)",Task40
101,183,675cca3a27cd0a6fc7c16a9a,task-6oo8,13342.7,voice_04_clone_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,7,clone,3,3dB,NA,Male,34,United Kingdom,2025-02-01T12:32:11.381000Z,1488,121,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Task31
102,254,66a773d4190ba4a8ec71d766,task-x2qy,3901.9,voice_09_clone_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,12,human,3,3dB,NA,Male,33,United Kingdom,2025-02-01T12:43:12.906000Z,1218,169,"London, England ",Task37
103,364,667d95b8b25237ac4e75dfc7,task-lcuh,7680.9,voice_08_clone_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,11,human,3,3dB,NA,Male,30,United Kingdom,2025-02-01T12:57:40.481000Z,1571,79,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",Task38
104,431,6728b1f4fe2f3ae23c9c086e,task-a44t,4698.1,voice_03_clone_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet ,5,1,4,clone,3,3dB,NA,Male,19,United Kingdom,2025-02-01T12:36:11.474000Z,1578,119,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task32
105,502,66d78e09da443c5b0f3fda98,task-zpav,10833.1,voice_01_clone_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,Help the woman get back to her feet,5,1,9,clone,3,3dB,NA,Male,26,United Kingdom,2025-02-01T13:38:08.573000Z,1696,112,"London, England ",Task33
107,701,668aa1000b1af4158ed5f71b,task-s2xz,5583,voice_12_clone_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,9,clone,3,3dB,NA,Male,20,United Kingdom,2025-02-01T12:28:50.509000Z,1163,108,Wales,Task34
108,769,6772052b4d23a9043a01c294,task-plll,6170,voice_11_clone_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,9,human,3,3dB,NA,Male,20,United Kingdom,2025-02-01T12:32:12.781000Z,1187,32,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)",Task35
109,16,5c1a371c03554a000119aaf7,task-v562,6178.2,voice_11_human_003_-6dB.mp3,help the woman get back to her feet,help,woman,get,back,feet,help the woman get back to her feet,5,1,7,human,3,3dB,NA,Female,28,United Kingdom,2025-01-31T12:18:42.602000Z,1943,109,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",Task26
