Type,Noise,Voice,SentenceID,Participant,StimulusID,Tree.Node.Key,IntelligibilityTask,Sex,Age,BirthCountry,Date,,Approvals,Location,,,,Reaction.Time,EventCode,ANSWER,Response,WordsCorrect,Accuracy,TimeTaken
clone,0dB,3,42,672b19cc67687cb549eb412c,voice_03_clone_042_0dB.mp3,task-q6h3,Task21,Male,35,United Kingdom,2025-01-31T11:15:25.742000Z,,100,Scotland,,,,8032.9,75,a pencil with black lead writes best,a pencil with black lead writes best,5,1,1509
clone,0dB,6,42,67468d12f6ec9cc78afdf1db,voice_06_clone_042_0dB.mp3,task-xvn5,Task29,Female,26,United Kingdom,2025-01-31T12:31:53.870000Z,,21,"London, England ",,,,5754.8,57,a pencil with black lead writes best,pencil with black led writes best,5,1,1066
clone,0dB,12,42,677af110577587c2e364d1d9,voice_12_clone_042_0dB.mp3,task-j8gt,Task23,Male,34,United Kingdom,2025-01-31T12:24:55.087000Z,,59,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,8052.9,50,a pencil with black lead writes best,the pencil with black lead writes best ,5,1,1390
clone,0dB,11,42,67865aa1cf8ca2f3ecd2f6f1,voice_11_clone_042_0dB.mp3,task-2ocn,Task24,Male,28,United Kingdom,2025-01-31T12:33:56.837000Z,,50,"South West, England (Gloucestershire, Wiltshire and Bristol/Bath area, Dorset and Somerset, Cornwall and Isles of Scilly, Devon)",,,,6329.4,58,a pencil with black lead writes best,the pencil with black lead writes best,5,1,2964
clone,-3dB,9,42,5b3016a9a8327d0001ffef94,voice_09_clone_042_-3dB.mp3,task-obom,Task06,Female,30,United Kingdom,2025-01-28T14:31:01.257000Z,,66,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)",,,,7299.3,63,a pencil with black lead writes best,a pencil with black lead writes best,5,1,1380
human,-3dB,6,42,5ff61f4fe313fd16fbeb5af6,voice_06_human_042_-3dB.mp3,task-rhl1,Task19,Male,27,United Kingdom,2025-01-28T14:13:27.607000Z,,135,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,6699.8,146,a pencil with black lead writes best,the penicl was black lead writes best,5,1,1251
clone,-3dB,10,42,6575c7da000442e5a54f5e24,voice_10_clone_042_-3dB.mp3,task-ulhi,Task05,Male,28,United Kingdom,2025-01-27T12:51:25.040000Z,,195,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)",,,,7647.9,65,a pencil with black lead writes best,the pencil with black lead writes best,5,1,1202
clone,-3dB,6,42,673646950eb7c31614a424bf,voice_06_clone_042_-3dB.mp3,task-ea16,Task09,Female,26,United Kingdom,2025-01-28T14:33:04.554000Z,,180,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)",,,,7449.8,467,a pencil with black lead writes best,the pencil with black lead writes best,5,1,1390
human,-3dB,11,42,60870e7b286405a9ad9ec7e7,voice_11_human_042_-3dB.mp3,task-i46j,Task14,Female,27,United Kingdom,2025-02-03T16:09:16.747000Z,,39,"London, England ",,,,10247.8,165,a pencil with black lead writes best,a pencil with black lead writes best,5,1,1652
clone,-3dB,8,42,671de38b70419e476bff2e09,voice_08_clone_042_-3dB.mp3,task-sjhp,Task07,Female,30,United Kingdom,2025-02-03T15:24:27.123000Z,,171,"Yorkshire and the Humber, England (East Riding, North Lincolnshire and Yorkshire)",,,,5537.9,297,a pencil with black lead writes best,a pencil with black lead writes best,5,1,1282
