Nr,Event,Participant,TaskID,Reaction.Time,Audio,Voice,Type,Sentence,Noise,ANSWER,Word1,Word2,Word3,Word4,Word5,Response,WordsCorrect,Accuracy,Sex,Age,BirthCountry,Date,TimeTaken,Approvals,Location
1807,813,67606091e8c51a6e01d0bc85,task-dt9q,6344,voice_10_clone_052_-6dB.mp3,10,clone,52,-6dB,the horse trotted around the field at a brisk pace,horse,trotted,field,brisk,pace,the horse trotted around,2,0.4,Female,21,United Kingdom,2025-05-27T11:59:35.272000Z,1973,14,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
1810,816,67606091e8c51a6e01d0bc85,task-dt9q,7474.7,voice_11_clone_043_-6dB.mp3,11,clone,43,-6dB,they floated on the raft to sun their white backs,floated,raft,sun,white,backs,floated on the sun back,2,0.4,Female,21,United Kingdom,2025-05-27T11:59:35.272000Z,1973,14,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
1813,819,67606091e8c51a6e01d0bc85,task-dt9q,4789.3,voice_03_clone_056_-6dB.mp3,3,clone,56,-6dB,the last switch cannot be turned off,last,switch,cannot,turned,off,last switch,2,0.4,Female,21,United Kingdom,2025-05-27T11:59:35.272000Z,1973,14,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
1818,824,67606091e8c51a6e01d0bc85,task-dt9q,5182.4,voice_07_clone_059_-6dB.mp3,7,clone,59,-6dB,fill the ink jar with sticky glue,fill,ink,jar,sticky,glue,ink jars,2,0.4,Female,21,United Kingdom,2025-05-27T11:59:35.272000Z,1973,14,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
1822,828,67606091e8c51a6e01d0bc85,task-dt9q,7594.3,voice_04_clone_057_-6dB.mp3,4,clone,57,-6dB,the nozzle of the fire hose was bright brass,nozzle,fire,hose,bright,brass,the nozel of the fire hose was,2,0.4,Female,21,United Kingdom,2025-05-27T11:59:35.272000Z,1973,14,"North East, England    (Tees Valley, Durham, Northumberland and Tyne and Wear)"
1833,424,67606d256cfeb888097accd1,task-5sga,7019.3,voice_12_clone_039_-3dB.mp3,12,clone,39,-3dB,float the soap on top of the bath water,float,soap,top,bath,water,rub the soap on the bathtub,2,0.4,Male,21,United Kingdom,2025-05-27T16:37:14.824000Z,1975,106,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
1838,429,67606d256cfeb888097accd1,task-5sga,10489.9,voice_08_clone_036_-3dB.mp3,9,clone,36,-3dB,fairy tales should be fun to write,fairy,tales,should,fun,write,fairytales ,2,0.4,Male,21,United Kingdom,2025-05-27T16:37:14.824000Z,1975,106,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
1852,443,67606d256cfeb888097accd1,task-5sga,12448.7,voice_12_clone_009_0dB.mp3,12,clone,9,0dB,lift the square stone over the fence,lift,square,stone,over,fence,little square stone on the white path,2,0.4,Male,21,United Kingdom,2025-05-27T16:37:14.824000Z,1975,106,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
1876,467,67606d256cfeb888097accd1,task-5sga,6545.4,voice_04_human_072_3dB.mp3,4,human,72,3dB,a lathe cuts and trims any wood,lathe,cuts,trims,any,wood,a lay of cuts and trims ,2,0.4,Male,21,United Kingdom,2025-05-27T16:37:14.824000Z,1975,106,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
1877,468,67606d256cfeb888097accd1,task-5sga,5703.7,voice_08_human_055_-6dB.mp3,8,human,55,-6dB,it is late morning on the old wall clock,late,morning,old,wall,clock,it is late morning on the lake,2,0.4,Male,21,United Kingdom,2025-05-27T16:37:14.824000Z,1975,106,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
1892,483,67606d256cfeb888097accd1,task-5sga,10008,voice_04_human_052_-6dB.mp3,4,human,52,-6dB,the horse trotted around the field at a brisk pace,horse,trotted,field,brisk,pace,he walked up the mountain at a brisk pace,2,0.4,Male,21,United Kingdom,2025-05-27T16:37:14.824000Z,1975,106,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
1905,496,67606d256cfeb888097accd1,task-5sga,5466.3,voice_06_human_063_3dB.mp3,6,human,63,3dB,a gem in the rough needs work to polish,gem,rough,needs,work,polish,worked to polish,2,0.4,Male,21,United Kingdom,2025-05-27T16:37:14.824000Z,1975,106,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
1913,587,67606e5e00aaf43f68f7242c,task-opad,5234.6,voice_01_clone_034_-6dB.mp3,1,clone,34,-6dB,the new girl was fired today at noon,new,girl,fired,today,noon,flying today at noon,2,0.4,Male,27,United Kingdom,2025-05-26T19:36:41.421000Z,1815,148,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
1914,588,67606e5e00aaf43f68f7242c,task-opad,6095.3,voice_11_clone_022_-6dB.mp3,11,clone,22,-6dB,a cramp is no small danger on a swim,cramp,small,danger,on,swim,theres no small danger,2,0.4,Male,27,United Kingdom,2025-05-26T19:36:41.421000Z,1815,148,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
1931,605,67606e5e00aaf43f68f7242c,task-opad,5417.9,voice_08_clone_009_-3dB.mp3,8,clone,9,-3dB,lift the square stone over the fence,lift,square,stone,over,fence,if a square stone,2,0.4,Male,27,United Kingdom,2025-05-26T19:36:41.421000Z,1815,148,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
1938,612,67606e5e00aaf43f68f7242c,task-opad,5255.1,voice_12_clone_033_-6dB.mp3,12,clone,33,-6dB,torn scraps littered the stone floor,torn,scraps,littered,stone,floor,scraps lay on the floor,2,0.4,Male,27,United Kingdom,2025-05-26T19:36:41.421000Z,1815,148,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
1965,639,67606e5e00aaf43f68f7242c,task-opad,8367.1,voice_08_human_050_3dB.mp3,9,human,50,3dB,we are sure that one war is enough,sure,that,one,war,enough,are we sure....is enough,2,0.4,Male,27,United Kingdom,2025-05-26T19:36:41.421000Z,1815,148,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
1980,654,67606e5e00aaf43f68f7242c,task-opad,7039.2,voice_11_human_072_0dB.mp3,11,human,72,0dB,a lathe cuts and trims any wood,lathe,cuts,trims,any,wood,lay cuts and trims,2,0.4,Male,27,United Kingdom,2025-05-26T19:36:41.421000Z,1815,148,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
1982,656,67606e5e00aaf43f68f7242c,task-opad,4176,voice_12_human_063_0dB.mp3,12,human,63,0dB,a gem in the rough needs work to polish,gem,rough,needs,work,polish,the gem in the rock needs,2,0.4,Male,27,United Kingdom,2025-05-26T19:36:41.421000Z,1815,148,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2000,10,67608a84f196088910ff544f,task-gnqv,10000.9,voice_01_human_001_-3dB.mp3,1,human,1,-3dB,rice is often served in round bowls,rice,often,served,round,bowls,the mice is often asleep in the round box,2,0.4,Female,18,United Kingdom,2025-05-13T15:58:19.213000Z,2010,82,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2004,14,67608a84f196088910ff544f,task-gnqv,13015.6,voice_03_human_022_-6dB.mp3,3,human,22,-6dB,a cramp is no small danger on a swim,cramp,small,danger,on,swim,i can't because there is a small danger in the sea,2,0.4,Female,18,United Kingdom,2025-05-13T15:58:19.213000Z,2010,82,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2009,19,67608a84f196088910ff544f,task-gnqv,8230.9,voice_12_human_030_-6dB.mp3,12,human,30,-6dB,at that high level the air is pure,at,high,level,air,pure,at eye level i know,2,0.4,Female,18,United Kingdom,2025-05-13T15:58:19.213000Z,2010,82,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2018,28,67608a84f196088910ff544f,task-gnqv,7957.5,voice_06_human_004_-3dB.mp3,6,human,4,-3dB,the fish twisted abd turned on the bent hook,fish,twisted,turned,bent,hook,twisted and turned on the bed frame,2,0.4,Female,18,United Kingdom,2025-05-13T15:58:19.213000Z,2010,82,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2020,30,67608a84f196088910ff544f,task-gnqv,7693.1,voice_10_human_018_-3dB.mp3,10,human,18,-3dB,open the crate but don't break the glass,open,crate,don't,break,glass,open the gate and don't wait for us,2,0.4,Female,18,United Kingdom,2025-05-13T15:58:19.213000Z,2010,82,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2165,424,676178f87c5aaf861d4f556c,task-nqkh,18216,voice_11_human_010_-3dB.mp3,11,human,10,-3dB,place a rosebush near the porch steps,place,rosebush,near,porch,steps,place knows ... steps,2,0.4,Female,21,United Kingdom,2025-05-14T12:50:12.367000Z,2092,7,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
2174,433,676178f87c5aaf861d4f556c,task-nqkh,6022,voice_08_human_027_-6dB.mp3,8,human,27,-6dB,the coffee stand is too high for the couch,coffee,stand,too,high,couch,... too high ...,2,0.4,Female,21,United Kingdom,2025-05-14T12:50:12.367000Z,2092,7,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
2181,440,676178f87c5aaf861d4f556c,task-nqkh,7273,voice_08_human_007_-3dB.mp3,8,human,7,-3dB,the meal was cooked before the bell rang,meal,cooked,before,bell,rang,the meal was cooked ,2,0.4,Female,21,United Kingdom,2025-05-14T12:50:12.367000Z,2092,7,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
2196,455,676178f87c5aaf861d4f556c,task-nqkh,9632,voice_07_human_026_-6dB.mp3,7,human,26,-6dB,these thistles bend in a high wind,these,thistles,bend,high,wind,... bent in the high wind,2,0.4,Female,21,United Kingdom,2025-05-14T12:50:12.367000Z,2092,7,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
2209,468,676178f87c5aaf861d4f556c,task-nqkh,9356,voice_12_clone_071_0dB.mp3,12,clone,71,0dB,fake stones shine but cost little,fake,stones,shine,cost,little,lake stones shine across,2,0.4,Female,21,United Kingdom,2025-05-14T12:50:12.367000Z,2092,7,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
2219,478,676178f87c5aaf861d4f556c,task-nqkh,13684,voice_03_clone_043_3dB.mp3,3,clone,43,3dB,they floated on the raft to sun their white backs,floated,raft,sun,white,backs,they floated on the raft to some,2,0.4,Female,21,United Kingdom,2025-05-14T12:50:12.367000Z,2092,7,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
2231,490,676178f87c5aaf861d4f556c,task-nqkh,10322,voice_11_clone_080_0dB.mp3,11,clone,80,0dB,the screen before the fire kept in the sparks,screen,before,fire,kept,sparks,the scream for the fire kept ,2,0.4,Female,21,United Kingdom,2025-05-14T12:50:12.367000Z,2092,7,"North West, England (Cumbria, Greater Manchester, Lancashire, Merseyside)"
2261,603,6762db21eaedea298cb0d00e,task-opad,9512,voice_11_clone_022_-3dB.mp3,11,clone,22,-3dB,a cramp is no small danger on a swim,cramp,small,danger,on,swim,no small danger,2,0.4,Male,30,United Kingdom,2025-05-27T17:01:44.291000Z,2285,63,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2276,618,6762db21eaedea298cb0d00e,task-opad,6740.7,voice_08_clone_010_0dB.mp3,9,clone,10,0dB,place a rosebush near the porch steps,place,rosebush,near,porch,steps,porch steps,2,0.4,Male,30,United Kingdom,2025-05-27T17:01:44.291000Z,2285,63,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2288,630,6762db21eaedea298cb0d00e,task-opad,7544,voice_12_human_073_3dB.mp3,12,human,73,3dB,no cement will hold hard wood,no,cement,hold,hard,wood,hard wood,2,0.4,Male,30,United Kingdom,2025-05-27T17:01:44.291000Z,2285,63,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2303,645,6762db21eaedea298cb0d00e,task-opad,12909.5,voice_10_human_061_3dB.mp3,10,human,61,3dB,glass will clink when struck by metal,glass,will,clink,struck,metal,glass struck by lightning,2,0.4,Male,30,United Kingdom,2025-05-27T17:01:44.291000Z,2285,63,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2310,652,6762db21eaedea298cb0d00e,task-opad,6231.1,voice_04_human_056_-6dB.mp3,4,human,56,-6dB,the last switch cannot be turned off,last,switch,cannot,turned,off,the last switch,2,0.4,Male,30,United Kingdom,2025-05-27T17:01:44.291000Z,2285,63,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2311,653,6762db21eaedea298cb0d00e,task-opad,7148,voice_10_human_071_3dB.mp3,10,human,71,3dB,fake stones shine but cost little,fake,stones,shine,cost,little,lake stones shine because,2,0.4,Male,30,United Kingdom,2025-05-27T17:01:44.291000Z,2285,63,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2313,655,6762db21eaedea298cb0d00e,task-opad,9875.7,voice_01_human_044_-6dB.mp3,1,human,44,-6dB,some ads serve to cheat buyers,some,ads,serve,cheat,buyers,some served cheap lights,2,0.4,Male,30,United Kingdom,2025-05-27T17:01:44.291000Z,2285,63,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2330,838,6764aac86a6be53265dfaed0,task-dt9q,7712.6,voice_06_clone_018_-3dB.mp3,6,clone,18,-3dB,open the crate but don't break the glass,open,crate,don't,break,glass,open glass,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2332,840,6764aac86a6be53265dfaed0,task-dt9q,9969.9,voice_10_clone_032_-6dB.mp3,10,clone,32,-6dB,there was a sound of dry leaves outside,there,sound,dry,leaves,outside,there was sound driving,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2334,842,6764aac86a6be53265dfaed0,task-dt9q,5814.6,voice_11_clone_033_-6dB.mp3,11,clone,33,-6dB,torn scraps littered the stone floor,torn,scraps,littered,stone,floor,scraps stone,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2339,847,6764aac86a6be53265dfaed0,task-dt9q,7192.7,voice_08_clone_040_-6dB.mp3,8,clone,40,-6dB,a blue crane is a tall wading bird,blue,crane,tall,wading,bird,crane wading,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2342,850,6764aac86a6be53265dfaed0,task-dt9q,14281.7,voice_01_clone_025_-6dB.mp3,1,clone,25,-6dB,we frown when events take a bad turn,frown,events,take,bad,turn,he found bad turn,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2345,853,6764aac86a6be53265dfaed0,task-dt9q,9342,voice_03_clone_026_-6dB.mp3,3,clone,26,-6dB,these thistles bend in a high wind,these,thistles,bend,high,wind,is this high wind,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2350,858,6764aac86a6be53265dfaed0,task-dt9q,8707.7,voice_04_clone_017_-3dB.mp3,4,clone,17,-3dB,the bill was paid every third week,bill,paid,every,third,week,every third reading,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2359,867,6764aac86a6be53265dfaed0,task-dt9q,5844.2,voice_12_clone_024_-6dB.mp3,12,clone,24,-6dB,bring your problems to the wise chief,bring,your,problems,wise,chief,when your problems,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2365,873,6764aac86a6be53265dfaed0,task-dt9q,10320.5,voice_08_clone_011_-3dB.mp3,9,clone,11,-3dB,a tame squirrel makes a nice pet,tame,squirrel,makes,nice,pet,tame the squirrel with some marzipan,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2379,887,6764aac86a6be53265dfaed0,task-dt9q,12141.1,voice_08_human_041_3dB.mp3,9,human,41,3dB,the wreck occurred by the bank on main street,h+AD49,occurred,bank,main,street,the wreck accured by the pub on main street,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2384,892,6764aac86a6be53265dfaed0,task-dt9q,14772.9,voice_10_human_062_0dB.mp3,10,human,62,0dB,the zones merge in the central part of town,zones,merge,central,part,town,his lungs merged in central,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2393,901,6764aac86a6be53265dfaed0,task-dt9q,14842,voice_08_human_080_0dB.mp3,8,human,80,0dB,the screen before the fire kept in the sparks,screen,before,fire,kept,sparks,the scream before the fire crept in his heart,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2394,902,6764aac86a6be53265dfaed0,task-dt9q,10026.7,voice_10_human_072_0dB.mp3,10,human,72,0dB,a lathe cuts and trims any wood,lathe,cuts,trims,any,wood,the lady cut and trims anywhere,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2399,907,6764aac86a6be53265dfaed0,task-dt9q,15128.2,voice_11_human_073_0dB.mp3,11,human,73,0dB,no cement will hold hard wood,no,cement,hold,hard,wood,no cemment will hold carved fruit,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2404,912,6764aac86a6be53265dfaed0,task-dt9q,11922.4,voice_08_human_051_3dB.mp3,9,human,51,3dB,the rude laugh filled the empty room,rude,laugh,filled,empty,room,the rude laugh failed to gain,2,0.4,Male,27,United Kingdom,2025-05-27T00:57:11.272000Z,2351,67,"South East, England (Berkshire, Buckinghamshire, and Oxfordshire, Surrey, Sussex, Kent, Hampshire and Isle of Wight)"
2409,585,67658a9232bf95b71a94b321,task-r6hy,24529.5,voice_06_human_021_-3dB.mp3,6,human,21,-3dB,the wharf could be seen at the farther shore,wharf,could,seen,farther,shore,the world can be seen from far ashore,2,0.4,Female,21,United Kingdom,2025-05-27T11:46:51.538000Z,1618,23,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2421,597,67658a9232bf95b71a94b321,task-r6hy,6759.3,voice_08_human_033_-3dB.mp3,8,human,33,-3dB,torn scraps littered the stone floor,torn,scraps,littered,stone,floor,torn lit up the stone wall,2,0.4,Female,21,United Kingdom,2025-05-27T11:46:51.538000Z,1618,23,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2426,602,67658a9232bf95b71a94b321,task-r6hy,5910.2,voice_07_human_032_-3dB.mp3,7,human,32,-3dB,there was a sound of dry leaves outside,there,sound,dry,leaves,outside,the sound of violins outside,2,0.4,Female,21,United Kingdom,2025-05-27T11:46:51.538000Z,1618,23,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2430,606,67658a9232bf95b71a94b321,task-r6hy,3469.1,voice_04_human_030_-3dB.mp3,4,human,30,-3dB,at that high level the air is pure,at,high,level,air,pure,a high level,2,0.4,Female,21,United Kingdom,2025-05-27T11:46:51.538000Z,1618,23,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2437,613,67658a9232bf95b71a94b321,task-r6hy,7803.7,voice_03_human_019_0dB.mp3,3,human,19,0dB,add the sum to the product of these three,add,sum,product,these,three,add the sun to the product of,2,0.4,Female,21,United Kingdom,2025-05-27T11:46:51.538000Z,1618,23,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2447,623,67658a9232bf95b71a94b321,task-r6hy,5754.3,voice_06_human_031_-3dB.mp3,6,human,31,-3dB,steam hissed from the broken valve,steam,hissed,from,broken,valve,steamed broken bound,2,0.4,Female,21,United Kingdom,2025-05-27T11:46:51.538000Z,1618,23,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2458,634,67658a9232bf95b71a94b321,task-r6hy,8473.1,voice_08_clone_043_-6dB.mp3,8,clone,43,-6dB,they floated on the raft to sun their white backs,floated,raft,sun,white,backs,they floated on the raft on their way back,2,0.4,Female,21,United Kingdom,2025-05-27T11:46:51.538000Z,1618,23,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2477,653,67658a9232bf95b71a94b321,task-r6hy,8277.6,voice_01_clone_048_-6dB.mp3,1,clone,48,-6dB,yell and clap as the curtain slides back,yell,clap,curtain,slides,back,clank slides back,2,0.4,Female,21,United Kingdom,2025-05-27T11:46:51.538000Z,1618,23,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2487,663,67658a9232bf95b71a94b321,task-r6hy,5582.2,voice_10_clone_055_-6dB.mp3,10,clone,55,-6dB,it is late morning on the old wall clock,late,morning,old,wall,clock,it was late morning,2,0.4,Female,21,United Kingdom,2025-05-27T11:46:51.538000Z,1618,23,"West Midlands, England (Herefordshire, Worcestershire and Warwickshire, Shropshire and Staffordshire, West Midlands)"
2492,87,67727a80c7d8eee59166d596,task-dt9q,9704.8,voice_11_clone_033_-6dB.mp3,11,clone,33,-6dB,torn scraps littered the stone floor,torn,scraps,littered,stone,floor,tall scraps litre stone walls,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2501,96,67727a80c7d8eee59166d596,task-dt9q,9885.9,voice_07_clone_029_-6dB.mp3,7,clone,29,-6dB,the sofa cushion is red and of light weight,sofa,cushion,red,light,weight,the sofa was red like grape,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2503,98,67727a80c7d8eee59166d596,task-dt9q,21958.5,voice_01_clone_025_-6dB.mp3,1,clone,25,-6dB,we frown when events take a bad turn,frown,events,take,bad,turn,he found the ets took a bad turn,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2508,103,67727a80c7d8eee59166d596,task-dt9q,12754.3,voice_08_clone_030_-6dB.mp3,8,clone,30,-6dB,at that high level the air is pure,at,high,level,air,pure,at that height there the air was clear,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2516,111,67727a80c7d8eee59166d596,task-dt9q,14314.4,voice_03_clone_036_-6dB.mp3,3,clone,36,-6dB,fairy tales should be fun to write,fairy,tales,should,fun,write,fair tails should be owe to write,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2520,115,67727a80c7d8eee59166d596,task-dt9q,9699.6,voice_11_clone_023_-6dB.mp3,11,clone,23,-6dB,two plus seven is less than ten,two,plus,seven,less,ten,2 plus 7 is less then 10,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2523,118,67727a80c7d8eee59166d596,task-dt9q,14706.3,voice_10_clone_012_-3dB.mp3,10,clone,12,-3dB,the pearl was worn in a thin silver ring,pearl,worn,thin,silver,ring,pearls warning to wearing the ring,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2529,124,67727a80c7d8eee59166d596,task-dt9q,8151.4,voice_12_clone_004_-3dB.mp3,12,clone,4,-3dB,the fish twisted abd turned on the bent hook,fish,twisted,turned,bent,hook,fish twisted and turn on the river bed,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2539,134,67727a80c7d8eee59166d596,task-dt9q,8251,voice_08_human_041_3dB.mp3,9,human,41,3dB,the wreck occurred by the bank on main street,h+AD49,occurred,bank,main,street,the rat run by the bird in main street,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2558,153,67727a80c7d8eee59166d596,task-dt9q,6984.5,voice_10_human_072_0dB.mp3,10,human,72,0dB,a lathe cuts and trims any wood,lathe,cuts,trims,any,wood,the lady cuts and trims them,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2560,155,67727a80c7d8eee59166d596,task-dt9q,12888.8,voice_06_human_068_0dB.mp3,6,human,68,0dB,he crawled with care along the ledge,crawled,with,care,along,ledge,walk with care alone the ledge,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
2562,157,67727a80c7d8eee59166d596,task-dt9q,9880.2,voice_01_human_045_3dB.mp3,1,human,45,3dB,jerk the rope and the bell rings weakly,jerk,rope,bell,rings,weakly,jerk the rope and eleven spring board,2,0.4,Male,35,United Kingdom,2025-05-26T15:15:55.297000Z,2250,118,"East of England (East Anglia, Bedfordshire and Hertfordshire, Essex)"
